,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,07,22-30,1285.7,-1636.5
EXP_NE,07,23-00,672.4999999999999,-1633.8999999999999
EXP_NE,07,23-30,295.90000000000003,-1592.8
EXP_NE,08,00-00,1925.8999999999999,-1600.0
EXP_NE,08,00-30,2319.0,-1466.7
EXP_NE,08,01-00,2543.5,-1438.5
EXP_NE,08,01-30,2623.0,-1450.9
EXP_NE,08,02-00,2711.6,-1407.4
EXP_NE,08,02-30,2149.6,-1494.3
EXP_NE,08,03-00,2091.5,-1598.0
EXP_NE,08,03-30,2016.3,-1596.3
EXP_NE,08,04-00,1922.6000000000001,-1482.3999999999999
EXP_NE,08,04-30,1816.3,-1466.7
EXP_NE,08,05-00,1764.4,-1541.8
EXP_NE,08,05-30,1738.9,-1315.1
EXP_NE,08,06-00,2222.9,-1227.5
EXP_NE,08,06-30,3104.1000000000004,-1213.6
EXP_NE,08,07-00,4101.9,-1179.9
EXP_NE,08,07-30,4646.2,-1087.6
EXP_NE,08,08-00,4726.4,-1248.3
EXP_NE,08,08-30,4874.599999999999,-1179.5
EXP_NE,08,09-00,4865.6,-1200.4
EXP_NE,08,09-30,4731.7,-1219.5
EXP_NE,08,10-00,5150.1,-1175.6
EXP_NE,08,10-30,4959.0,-1191.4
EXP_NE,08,11-00,4993.3,-1203.6
EXP_NE,08,11-30,5029.0,-1208.2
EXP_NE,08,12-00,5127.2,-1149.5
EXP_NE,08,12-30,5080.7,-1201.4
EXP_NE,08,13-00,5606.7,-1083.1
EXP_NE,08,13-30,5299.4,-1250.0
EXP_NE,08,14-00,5489.3,-1251.4
EXP_NE,08,14-30,5625.9,-1223.8
EXP_NE,08,15-00,5744.1,-1199.5
EXP_NE,08,15-30,5512.3,-1278.9
EXP_NE,08,16-00,6084.8,-1176.3
EXP_NE,08,16-30,5238.3,-1330.7
EXP_NE,08,17-00,4802.8,-1343.9
EXP_NE,08,17-30,4534.0,-1370.6000000000001
EXP_NE,08,18-00,6186.6,-1326.8
EXP_NE,08,18-30,6641.6,-1288.7
EXP_NE,08,19-00,7126.4,-1212.0
EXP_NE,08,19-30,7436.0,-1186.7
EXP_NE,08,20-00,6766.3,-1198.5
EXP_NE,08,20-30,6006.9,-1306.5
EXP_NE,08,21-00,7774.2,-1182.8
EXP_NE,08,21-30,7458.2,-1236.5
EXP_NE,08,22-00,7639.4,-1218.7
EXP_NE,08,22-30,7679.2,-1053.9
EXP_NE,08,23-00,7754.1,-1055.3999999999999
EXP_NE,08,23-30,7793.2,-1085.8
EXP_NE,09,00-00,7674.2,-920.2
EXP_NE,09,00-30,8032.6,-822.5
EXP_NE,09,01-00,8038.6,-883.8
EXP_NE,09,01-30,7733.2,-898.4000000000001
EXP_NE,09,02-00,8012.2,-860.9
EXP_NE,09,02-30,7971.6,-870.8
EXP_NE,09,03-00,5599.0,-1231.2
EXP_NE,09,03-30,5633.9,-1192.7
EXP_NE,09,04-00,5757.7,-1134.0
EXP_NE,09,04-30,5977.6,-1099.0
EXP_NE,09,05-00,6119.6,-1168.2
EXP_NE,09,05-30,6290.6,-894.3
EXP_NE,09,06-00,4897.2,-1051.8
EXP_NE,09,06-30,5981.6,-905.5999999999999
EXP_NE,09,07-00,7156.3,-619.1
